PALA CUADRADA SANTUL,445,365
TUCAN ESMALT NARANJA 1/4,339,313.6
TUCAN ESMALT ROJO 112 1/4,339,308
TUCAN ESMALT  LIMONCILLO 145 1/4,339,238
TUCAN ESMALT VERD LIM 152,339,238
TUCAN ESMALT VERDE 157,339,238
TOKA ESMALT GRIS PERLA 1/4,322,315
VALSOR 1/2 LIT,46.6,43
HILO BALLENITA #24,140,115
CINTA MET TOLSEN 8M,275.4,214
CINTA PRUEBA DE AGUA GRAD,21.2,13
BREAKER EUROPEO 1P/40MP,76.3,52
BREAKER EUROPEO 1P/ 60AM,76.6,52
HILO BALLENITA #21,140,123
CUBO MEC TRUP LARG  #12,161,134
CUBO MEC TRUP LARG  #13,152.5,133
CUBO MEC TRUP LARG  #16,152.5,121
EXTENSION TELEFONO 15FT,42.4,35
SWITCH P/VEHICULO 3P 1422,42.4,38
FITTING M 5/16 X 3/8,63.6,54
RJ45 (TERM MET  P/CABLE),10.2,8
CANCAMO ABIERTO 20X70,2.5,1.5
REMACHE 1/4 X 1/4,1.7,1.42
CUBO MEC TRUP LARG  #11,191,165
BROCHA ATLAS 1´´,46.6,42
BROCHA ATLAS 1 1/2,55.08,48
BROCHA ATLAS 2´´,76.3,65
BROCHA ATLAS 2 1/2,93.22,80
ANZUELO #20,4.24,3.6
LAVAMANO ITA 1H,0,1500
CEPILLO ALAMBRE TRUP 11540,76.3,67
BOQUILLA LAV AQUAMAX PVC,51,48
MEZCLADORA FREG PVC AGUAFLEX,530,451
ACEITERA,140,118
CUBO MEC TRUP LARG  #16 NEGRO,204,175
CONECTOR MANG MET H/M 3/4´´ 12708,178,152
TORN ROSCA FIERO 5/16 X 1 1/4 (44567),5.5,4.3
TORN TIRADOR 5/32 X 1 1/4,1.7,0.81
TORN ROSCA FIERO 5/16X6,18.6,15.3
TORN ROSCA FIERO 3/8X5 (44652),21.2,18.3
ALAMBRE MILIM 10.0MM #6,30,23
LAMPARA LED 100W,784,612
PVC TUBO SCH-40 1/2¨ PRESION,288,245
PVC TAPON ROSCADO H 3/4,12.7,9
TARUGO AZUL 5/16X2,1.02,0.8
CHISPERO PISTOLA,85,77
CUCHILLA INGCO MULTIUSOS,360,305
CUCHILLO MESA,55.08,40
BISAGRA INDUMA 2 1/2,38.14,32.5
BOMBILLO BATERIA 12 VOL 25W,76.3,66
BOMBILLO BATERIA 12 VOL 50W,76.3,66
NIPLE GALV 1/2X2 C/TUERC,12.7,6
HG REDUCCION 1/2 A 1/4,21.2,17.7
HG REDUCCION 3/4 A 1/4,25.4,21.2
ACEITE 3 EN 1 1.5 ONZ,93.22,80
ACEITE 3 EN 1 3ONZ,114.4,100
MEZCLADORA FREG S121 PVC,466,370
DESTORN ESTRIA TACTIX 1/4X8,106,83
PINZA CHOFER TOLZEN 10¨ 10314,186.44,156
SERVILLANA,241.52,203
DISCO SIERRA 9,347.45,293
CHICHARRA VERDE 1/4,169.5,144
SIERRA WALL BOARD,114.5,90
SERRUCHO PROF 22´´,148.3,113
SOLDADURA ALUMINIO,30,22
ADAPTADOR P/TEL,55,51.7
JUEGO LLAVEN SECURITY,212,184.7
PISTOLA P/MANG PRET 22759,68,60
PORTACANDADO SAND  3 1/2,46.6,42.3
PORTACANDADO SML 5,68,55
CAJA REGISTRO PLAST 200X200X80,191,147
CAJA REGISTRO PLAST 200X155X80,106,50
TAPA METAL 4X4,17,11
REGLETA PROW AZUL,135.6,118
BREAKER EUROPEO 2P/40 AMP,248,155
ESPATULA SANTUL 3,38.13,30
ESPATULA SANTUL 6,46.6,40
ESPATULA SANTUL 1 1/2,25.42,20
BROCA PLANA P/MAD CENT 1´´,76.27,66.85
LLAVE BOLA ROJA 1/4 YTALY,225,190
UNINAL,2966.1,2814
TIJERA TOTAL PODAR,233,160
SIERRA TOTAL PODAR,233.05,184
SACA BOCADO,263,219
GRAPADORA INGCO HSG1403,424,369
PISTOLA P/LAVAR TOTAL 20751,483,407
TORN ALUZIN 14X2 1/2,2.96,2.53
TORN ALUZIN 12X2 1/2,2.33,1.95
SEGUETA SIERRA TATIX 6´´,80.5,59
COLOR COLONIAL CUBETA,1356,1050
CLORO TOKA,135.6,115
REDUCCION P/LAV 3/8 A 3/8,51,41.5
REDUCCION P/LLAVE ANG 1/2 A 3/8,59.3,49
ANILLA 3/16,3.4,2.6
PVC LANCO AZUL 32 ONZ,1038,488.7
TUCAN ANTOXIDO BLC GL,720.34,678
TUCAN ANTOXIDO NEG GL,720.34,678
PRISIONERO 1/2X3/8,4.24,3
PRISIONERO 3/8X3/8,3.4,2
PRISIONERO 5/16X3/8,2.54,1.4
PRISIONERO 1/4X3/8,2.54,0.8
TUERCA INOX 5/16,3.4,2.4
KING ANTTIOXIC ROJO GL,640,629
KING IND NEG 1/4,423.7,432
SOGA NYLON ROJA 14MM,118.64,105
INTERRUPTOR DOBLE PROW,93.22,82
INTERRUPTOR INLEC TRIPL,93.22,72
TOMACORRIENTE PROW,97.5,92
CANDADO BENO REF 40MM,190.6,138
CUBRE FALTA FREG 8¨ P/MEZC,237.3,200
CANDADO CROWN 25MM,42.4,37.8
CORREDERA BLANCA P/GABETA 18¨,93.33,70
LLAVERO CROMADO KEY,42.4,31.5
DISCO DIAMANT CENT,334,280
PATA DE CABRA 3/4X90 (10862),466,390
DESTORN PLANO ONSITE 1/4X6,76.3,66.5
PERA AQUAPLUS,72,63
DISCO CORTE TACTIX 7,85,72
PATA CABRA TACTIX 36´´,700,602
NIVEL TORPEDO SANTUL,156.78,135
BOTIQUIN,826.3,720
BOMBA P/INFLAR SANTUL,390,340
SILICON CLEAR 2500,148,125
DESTUPIDOR MANGO MADERA,72,58
AGUARRAS GL,424,398
CARBOSOTA GL,424,398
DESTUPIDOR MANGO BLC,68,59
SIFON FLEX P/LAV 1 1/4,85,70
TORN TIRAFONDO C/EXAG 5/16X4,8.5,7.4
CINTA MET TOLSEN 3M,135.6,112
CUBO MEC TRUP #22 13272,131.4,111
LIJA FERRE SILOX G 40,50.8,45
LIJA FERRE SILOX G 36,50.8,41
TORNILLO CAJA BENO,228.9,145
TORN ROSCA FIERO 5/16X2,6.36,5.3
PRENSA PRET 5´´,360.17,300
TIJERA SCISSORS,59.3,45
DESTUPIDOR LINDA,148.3,130
